ANO,MS,DI,HR,1200535,1200579,1210762
2018,1,27,9,-990.0,346.2,226.3
2018,1,27,10,-990.0,1027.7,786.7
2018,1,27,11,-990.0,1624.1,1320.5
2018,1,27,12,-990.0,2030.5,1691.0
2018,1,27,13,-990.0,2229.7,1866.2
2018,1,27,14,-990.0,2174.0,1852.1
2018,1,27,15,-990.0,1864.9,1621.8
2018,1,27,16,-990.0,1329.8,1217.4
2018,1,27,17,-990.0,672.2,584.3
2018,1,27,18,-990.0,132.5,98.8
2018,1,27,19,-990.0,.0,.0
2018,1,27,20,-990.0,.0,.0
2018,1,27,21,-990.0,.0,.0
2018,1,27,22,-990.0,.0,.0
2018,1,27,23,-990.0,.0,.0
2018,1,28,0,-990.0,.0,.0
2018,1,28,1,-990.0,.0,.0
2018,1,28,2,-990.0,.0,.0
2018,1,28,3,-990.0,.0,.0
